tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2024K;1488;Vieremän lukio;FI;;2;15;4;;;;;;;;3;;2;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;28;5;;;;;;;;6;;;;6;;;;;;;6;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;23;5;;;;;;;;;3;;;;;5;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;19;4;;;;;;;;;4;;;;;;;;;;;;;;4;;;4;;;;;;;3;;;;;;;;;;3
2024K;1488;Vieremän lukio;FI;;2;28;6;;;;;;;;5;;;;;5;;;;;;;5;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;15;3;;;;;;;;2;;;;;;4;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;19;4;;;;;;;;3;;;;5;;;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;12;4;;;;;;;;;;;;;;3;;;;;;3;;;2;;;0;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;27;7;;;;;;;;4;;4;;3;;;;;;;3;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;19;4;;;;;;;;;4;;;;;;;;;4;;4;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;28;6;;;;;;;;4;;;;;6;;;;;;;6;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;23;5;;;;;;;;;3;;;;;;;;;4;;6;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;15;2;;;;;;;;5;;;;3;;;;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;10;2;;;;;;;;;2;;;;3;0;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;2;20;5;;;;;;;;3;;;;;;4;;;;;;3;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1488;Vieremän lukio;FI;;1;20;4;;;;;;;;4;;;;4;;;;;;;;;3;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;5;;;;;;;;4;;;;;6;;5;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;17;4;;;;;;;;;2;;;;;;;;;;;;2;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;18;4;;;;;;;;;2;;;;;6;;;;;;;4;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;20;3;;;;;;;;5;;;;4;;;;;;;;2;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;22;3;;;;;;;;3;;4;;5;;;;;;;3;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;6;;;;;;;;;4;;;;6;;6;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;47;7;;;;;;;;7;;;;7;6;;;;;;7;;6;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;;;;;;;7;;;4;;;;;5;;;;;;4;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;;;;;;;5;;;6;;;4;;;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;29;5;;;;;;;;;7;;;;5;;;;;;;;;;;;;6;;;;;;;6;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;25;6;;;;;;;;;4;;;;4;;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;35;5;;;;;;;;;6;7;;6;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;4;;;;;;;;6;;6;;;;;;;;;6;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;19;3;;;;;;;;;3;;;;3;;;;;;;;4;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;;3;;;;;;;;;;3;;;;6;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;;5;;;;3;;;;;5;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;4;;;;;;;;;5;;;;4;;;;5;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;16;;;;;;;4;;;3;;;;3;;;;;;;2;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;;3;;;;3;;2;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;32;7;;;;;;;;3;;;;4;;6;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;3;;;;;6;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;19;5;;;;;;;;;;;;;3;3;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;6;;;;;;;;4;;;;5;3;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;5;;;;4;;;;;;6;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;5;;;;;;;;;;;;;6;;;;;;;;;;7;;;6;;7;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;26;4;;;;;;;;;7;;;;;5;;;;;;;;6;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;19;;;;;;;4;;5;;;;3;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;16;4;;;;;;;;;4;3;;3;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;5;;;;;;;;5;;;;;7;;;;;;;;7;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;17;3;;;;;;;;2;;;;;4;;;;;;;;5;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;18;4;;;;;;;;;5;2;;;;;;;;;2;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;33;7;;;;;;;;;7;;;;6;;;;;;;;;;6;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;22;2;;;;;;;;4;;;;;5;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;6;;;;;;;;5;;;;6;;;;;;;6;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;21;4;;;;;;;;;4;;;;4;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;28;6;;;;;;;;4;;6;;;;4;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;6;;;;;;;;5;;;;;7;7;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;22;5;;;;;;;;;4;4;;;;4;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;22;4;;;;;;;;;4;;;;;5;;;;;;;6;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;3;;;;;;;;;4;4;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;2;;;;;;;;4;;3;;5;;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;5;;;;;;;;;6;;;;7;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;5;;;;;;;;7;;;;7;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;5;;;;;;;;;5;;;;;5;;;;;;;;;5;;;6;;;;;;5;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;5;;;;;;;;;6;5;;5;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;22;4;;;;;;;;;5;;;;;;;;;;2;;;;5;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;25;2;;;;;;;;4;;4;;5;;;;;;;4;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;26;6;;;;;;;;4;;;;5;;;;;;;;;5;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;22;5;;;;;;;;;;;;;4;;;;;;;;;;6;;;4;3;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;25;3;;;;;;;;;5;;4;;4;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;6;;;;;;;;;7;;6;;;;;;;;;;;;;;;6;;;;;;;;6;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;6;;;;;;;;;;;;;;6;;;;;;6;;;5;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;5;;;;;;;;4;;3;;;3;;;;;;;;;;;;;4;;;;;;;4;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;6;;;;;;;;;5;;;;;;;;;5;;;;;5;;;6;;;;;;;;;4;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;4;;;;;;;;6;;;;6;;;;;;;6;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;20;3;;;;;;;;;5;;5;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;6;;;;;;;;7;;;;6;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;22;4;;;;;;;;;6;;;;5;;4;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;28;4;;;;;;;;;5;;;5;;;;;;7;;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;32;6;;;;;;;;;;;6;;6;;7;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;38;6;;;;;;;;;6;;;;6;;;;;7;;;;;6;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;28;;;;;;;6;;4;;5;;4;;;;;;;4;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;4;;;;;;;;;6;;;;5;6;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;28;5;;;;;;;;4;;4;;4;;;;;;;4;;;;;;;;7;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;36;7;;;;;;;;;6;;6;;5;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;3;;;;;;;;5;;;;6;;;;;;;6;;;;5;;;;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;27;6;;;;;;;;;4;;;;;6;;;;;;;;6;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;26;6;;;;;;;;5;;;;;4;;5;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;38;7;;;;;;;;;7;5;;;;;;;;;6;;;;;;;6;;;;7;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;34;5;;;;;;;;6;;7;;6;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;27;5;;;;;;;;;;;;;;4;;;;;;;;;7;;;5;;6;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;4;;;;;;;;;7;;;;6;;;;4;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;6;;;;;;;;5;;;;;;6;;;;;;;4;;6;;;;;;;;4;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;26;;;;;;;6;;4;;;;;5;;5;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;4;;;;;;;;;6;6;;5;;;;;;;4;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;18;4;;;;;;;;;6;;;;0;;;;;;2;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;3;;;;;5;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;4;;;;;;;;3;;5;;3;;;;;;;4;;;;;;;3;;;;;3;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;26;5;;;;;;;;;3;4;;;4;;;;;5;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;3;;;;;;;;;5;4;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;26;6;;;;;;;;5;;;;;4;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;30;7;;;;;;;;;6;5;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;15;2;;;;;;;;4;;;;3;2;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;;6;;;;3;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;28;7;;;;;;;;;5;;;;5;;;;;;;;;;6;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;28;7;;;;;;;;;5;;;;;5;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;29;4;;;;;;;;6;;;;6;;;;;;;6;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;;4;;;;;;;;;;;4;4;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;4;;;;;;;;;;;;;;;;;5;;;5;;;5;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;25;4;;;;;;;;6;;;;5;;;;;;;;;4;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;36;7;;;;;;;;;5;;;;6;;;;;;;;6;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;;4;;;;5;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;33;6;;;;;;;;;6;;;;6;;3;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;7;;;;;;;;;7;;;;4;;;;;;;;;;7;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;2;;;;;;;;4;;;;3;;;;;;;;3;3;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;27;;;;;;;6;;;7;;5;;;;;;;3;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;;4;;;;5;;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;6;;;;;;;;6;;;;6;6;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;19;3;;;;;;;;4;;;;4;3;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;22;4;;;;;;;;4;;;;;5;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;20;2;;;;;;;;;5;;;;;;;;;5;;;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;20;4;;;;;;;;;4;;;;;5;5;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;26;5;;;;;;;;;7;5;;;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;26;5;;;;;;;;;6;6;;;;5;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;13;;;;;;;4;;;3;;;0;;;;;;;2;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;23;3;;;;;;;;;;;3;;3;4;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;24;4;;;;;;;;;4;4;;3;;;;;;;;4;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;29;0;;;;;;;;;4;5;;;;4;;;;;;;;;3;;;4;;3;;6;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;18;2;;;;;;;;4;;2;;3;;;;;;;3;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;18;3;;;;;;;;;4;;;;3;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;35;5;;;;;;;;6;;6;;6;;;;;;;5;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;5;;;;;;;;5;;;;;5;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;26;;;;;;;6;;;3;;;;;;5;;;;;;;;;;;6;;;;;;;;6;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;24;5;;;;;;;;;;;;;;3;;;;;;;;;6;;;4;;3;;;;;3;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;35;6;;;;;;;;6;;;;5;7;;;;;;;;6;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;6;;;;;;;;6;;;;6;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;;6;;;;;;;;;;2;;4;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;4;;;;;;;;;4;;;;5;;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;13;3;;;;;;;;;3;;;;3;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;4;;;;4;;;;;;;;;;;;;5;;;;;;;;6;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;4;;;;;;;;6;;;;6;;;;;;;7;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;27;6;;;;;;;;;6;;;;5;4;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;28;4;;;;;;;;7;;;;6;;;;;;;6;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;32;7;;;;;;;;6;;;;;7;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;14;0;;;;;;;;;2;;;;;;;;;;;;;;2;;;4;;;;6;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;19;3;;;;;;;;;4;;;;4;3;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;4;;;;;;;;4;;;;5;3;;;;;;;;3;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;20;4;;;;;;;;;5;4;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;37;7;;;;;;;;6;;;;;7;5;;;;;;;;;7;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;39;7;;;;;;;;5;;;;6;;;6;;;;;;;;5;;;7;;;;;;;;;3;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;40;7;;;;;;;;7;;;;6;6;;;;;;;;;;7;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;6;;;;;;;;;5;;;;4;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;29;7;;;;;;;;;4;;;;5;;5;;;;;;;;5;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;18;3;;;;;;;;;4;;;3;2;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;28;6;;;;;;;;;3;;;;4;5;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;32;6;;;;;;;;5;;5;;;;5;;;;;5;;;6;;;;;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;24;4;;;;;;;;6;;;;;;;;;;;6;;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;29;6;;;;;;;;;7;;;;6;;;;;;;;;;6;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;;;;;;;7;;4;;;;;;;;;;;;;;;7;;;6;;;;;;;;;7;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;30;6;;;;;;;;;6;4;;;;;;;;;2;;;6;;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;17;4;;;;;;;;;;;;;;2;;;;;;2;;;5;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;23;;;;;;;5;;;4;;;;4;;;;;;;;;;;;;4;;6;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;18;3;;;;;;;;;4;;;;3;;4;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;29;3;;;;;;;;;3;;;;;2;;;6;;;;;;4;;;3;;;3;;5;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;17;2;;;;;;;;;4;;;;;;;;;4;;4;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;15;2;;;;;;;;;3;;;;;2;;;;;;2;;;3;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;31;3;;;;;;;;5;;;;6;5;;;;;;5;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;29;6;;;;;;;;;2;;;;4;;;;;;;;;;6;;;5;;;;;;;;6;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;1;14;2;;;;;;;;;4;;;;;;3;;;;;;;;2;;;3;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;31;6;;;;;;;;5;;;;;;7;;;;;;;;;7;;;6;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;14;3;;;;;;;;;;;;;;;;;;2;;2;;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;25;5;;;;;;;;;4;;;4;;;;;;;3;;;;;;;6;3;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;32;5;;;;;;;;;6;;;;4;5;;;;;;;;;7;;;5;;;;;;;;;;;;;;;;;1
2024K;1093;Espoonlahden lukio;FI;;2;20;3;;;;;;;;;5;;;;;3;;;;;;;;;3;;;6;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;42;;6;;;;;;;5;;;;;;7;;;;;;;7;;;7;;5;;;;;;;;5;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;42;;4;;;;;;;4;;;;;6;;;;;;5;;6;;;5;7;5;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;1;23;;4;;;;;;;3;;;;2;;;;;;;;;3;;;6;;5;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;1;22;;2;;;;;;;5;;;;;;;5;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;26;;4;;;;;;;;4;;;;;;;;;;;;6;;;7;;5;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;26;;0;;;;;;;;3;;;;3;;;;;;;;5;;;4;7;4;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;1;17;;2;;;;;;;;4;;;;;;;;;;;;3;;;5;;3;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;22;;4;;;;;;;;;;;;;4;;;;;;5;;;;5;;4;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;2;23;;3;;;;;;;4;;;;;2;4;;;;;;;;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;1;34;;5;;;;;;;;7;;;;;;;;;;;;6;;;3;7;6;;;;;;;;;;;;;;;;;1
2024K;2033;Mattlidens gymnasium;SV;;1;27;;2;;;;;;;4;;;;4;;;;;;;3;;4;;;5;;5;;;;;;;;;;;;;;;;;1
